"9 Digit Campus Number","Campus Name","6 Digit County District Number","District Name","Campus 2024 College, Career, & Military Ready Graduates: All Students Denominator","Campus 2024 College, Career, & Military Ready Graduates: African American Denominator","Campus 2024 College, Career, & Military Ready Graduates: Hispanic Denominator","Campus 2024 College, Career, & Military Ready Graduates: White Denominator","Campus 2024 College, Career, & Military Ready Graduates: American Indian Denominator","Campus 2024 College, Career, & Military Ready Graduates: Asian Denominator","Campus 2024 College, Career, & Military Ready Graduates: Pacific Islander Denominator","Campus 2024 College, Career, & Military Ready Graduates: Two or More Races Denominator","Campus 2024 College, Career, & Military Ready Graduates: Econ Disadv Denominator","Campus 2024 College, Career, & Military Ready Graduates: Special Ed Denominator","Campus 2024 College, Career, & Military Ready Graduates: EB/EL Denominator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - All Students Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - African American Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Hispanic Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - White Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - American Indian Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Asian Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Pacific Islander Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Two or More Races Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Econ Disadv Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Special Ed Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - EB/EL Numerator","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - All Students Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - African American Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Hispanic Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - White Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - American Indian Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Asian Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Pacific Islander Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Two or More Races Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Econ Disadv Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - Special Ed Rate","Campus 2024 Associated CCMR: Dual Course Credits or OnRamps Course Credits - EB/EL Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: All Students Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: African American Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Hispanic Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: White Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: American Indian Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Asian Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Pacific Islander Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Two or More Races Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Econ Disadv Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Special Ed Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: EB/EL Numerator","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: All Students Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: African American Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Hispanic Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: White Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: American Indian Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Asian Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Pacific Islander Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Two or More Races Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Econ Disadv Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: Special Ed Rate","Campus 2024 Dual Credit Graduates: 3 Hrs ELA or Math, or 9 Hrs Any Subject: EB/EL Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: All Students Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: African American Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Hispanic Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: White Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: American Indian Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Asian Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Pacific Islander Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Two or More Races Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Econ Disadv Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Special Ed Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: EB/EL Numerator","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: All Students Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: African American Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Hispanic Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: White Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: American Indian Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Asian Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Pacific Islander Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Two or More Races Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Econ Disadv Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: Special Ed Rate","Campus 2024 AP/IB Met Criteria in Any Subject Graduates: EB/EL Rate","Campus 2024 Associate Degree Graduates: All Students Numerator","Campus 2024 Associate Degree Graduates: African American Numerator","Campus 2024 Associate Degree Graduates: Hispanic Numerator","Campus 2024 Associate Degree Graduates: White Numerator","Campus 2024 Associate Degree Graduates: American Indian Numerator","Campus 2024 Associate Degree Graduates: Asian Numerator","Campus 2024 Associate Degree Graduates: Pacific Islander Numerator","Campus 2024 Associate Degree Graduates: Two or More Races Numerator","Campus 2024 Associate Degree Graduates: Econ Disadv Numerator","Campus 2024 Associate Degree Graduates: EB/EL Numerator","Campus 2024 Associate Degree Graduates: Special Ed Numerator","Campus 2024 Associate Degree Graduates: All Students Rate","Campus 2024 Associate Degree Graduates: African American Rate","Campus 2024 Associate Degree Graduates: Hispanic Rate","Campus 2024 Associate Degree Graduates: White Rate","Campus 2024 Associate Degree Graduates: American Indian Rate","Campus 2024 Associate Degree Graduates: Asian Rate","Campus 2024 Associate Degree Graduates: Pacific Islander Rate","Campus 2024 Associate Degree Graduates: Two or More Races Rate","Campus 2024 Associate Degree Graduates: Econ Disadv Rate","Campus 2024 Associate Degree Graduates: Special Ed Rate","Campus 2024 Associate Degree Graduates: EB/EL Rate","Campus 2024 Completion of OnRamps Course Graduates: All Students Numerator","Campus 2024 Completion of OnRamps Course Graduates: African American Numerator","Campus 2024 Completion of OnRamps Course Graduates: Hispanic Numerator","Campus 2024 Completion of OnRamps Course Graduates: White Numerator","Campus 2024 Completion of OnRamps Course Graduates: American Indian Numerator","Campus 2024 Completion of OnRamps Course Graduates: Asian Numerator","Campus 2024 Completion of OnRamps Course Graduates: Pacific Islander Numerator","Campus 2024 Completion of OnRamps Course Graduates: Two or More Races Numerator","Campus 2024 Completion of OnRamps Course Graduates: Econ Disadv Numerator","Campus 2024 Completion of OnRamps Course Graduates: Special Ed Numerator","Campus 2024 Completion of OnRamps Course Graduates: EB/EL Numerator","Campus 2024 Completion of OnRamps Course Graduates: All Students Rate","Campus 2024 Completion of OnRamps Course Graduates: African American Rate","Campus 2024 Completion of OnRamps Course Graduates: Hispanic Rate","Campus 2024 Completion of OnRamps Course Graduates: White Rate","Campus 2024 Completion of OnRamps Course Graduates: American Indian Rate","Campus 2024 Completion of OnRamps Course Graduates: Asian Rate","Campus 2024 Completion of OnRamps Course Graduates: Pacific Islander Rate","Campus 2024 Completion of OnRamps Course Graduates: Two or More Races Rate","Campus 2024 Completion of OnRamps Course Graduates: Econ Disadv Rate","Campus 2024 Completion of OnRamps Course Graduates: Special Ed Rate","Campus 2024 Completion of OnRamps Course Graduates: EB/EL Rate"
CAMPUS,CAMPNAME,DISTRICT,DISTNAME,CA0GP24D,CB0GP24D,CH0GP24D,CW0GP24D,CI0GP24D,C30GP24D,C40GP24D,C20GP24D,CE0GP24D,CS0GP24D,CL0GP24D,CADGG24N,CBDGG24N,CHDGG24N,CWDGG24N,CIDGG24N,C3DGG24N,C4DGG24N,C2DGG24N,CEDGG24N,CSDGG24N,CLDGG24N,CADGG24R,CBDGG24R,CHDGG24R,CWDGG24R,CIDGG24R,C3DGG24R,C4DGG24R,C2DGG24R,CEDGG24R,CSDGG24R,CLDGG24R,CA0GUA24N,CB0GUA24N,CH0GUA24N,CW0GUA24N,CI0GUA24N,C30GUA24N,C40GUA24N,C20GUA24N,CE0GUA24N,CS0GUA24N,CL0GUA24N,CA0GUA24R,CB0GUA24R,CH0GUA24R,CW0GUA24R,CI0GUA24R,C30GUA24R,C40GUA24R,C20GUA24R,CE0GUA24R,CS0GUA24R,CL0GUA24R,CA0GY24N,CB0GY24N,CH0GY24N,CW0GY24N,CI0GY24N,C30GY24N,C40GY24N,C20GY24N,CE0GY24N,CS0GY24N,CL0GY24N,CA0GY24R,CB0GY24R,CH0GY24R,CW0GY24R,CI0GY24R,C30GY24R,C40GY24R,C20GY24R,CE0GY24R,CS0GY24R,CL0GY24R,CA0GJ24N,CB0GJ24N,CH0GJ24N,CW0GJ24N,CI0GJ24N,C30GJ24N,C40GJ24N,C20GJ24N,CE0GJ24N,CL0GJ24N,CS0GJ24N,CA0GJ24R,CB0GJ24R,CH0GJ24R,CW0GJ24R,CI0GJ24R,C30GJ24R,C40GJ24R,C20GJ24R,CE0GJ24R,CS0GJ24R,CL0GJ24R,CA0GZ24N,CB0GZ24N,CH0GZ24N,CW0GZ24N,CI0GZ24N,C30GZ24N,C40GZ24N,C20GZ24N,CE0GZ24N,CS0GZ24N,CL0GZ24N,CA0GZ24R,CB0GZ24R,CH0GZ24R,CW0GZ24R,CI0GZ24R,C30GZ24R,C40GZ24R,C20GZ24R,CE0GZ24R,CS0GZ24R,CL0GZ24R
"057905001","BRYAN ADAMS H S LEADERSHIP ACADEMY","057905","DALLAS ISD",503,57,403,26,-1,9,,-3,444,33,255,117,16,91,8,-1,1,0,-3,104,0,40,23.3,28.1,22.6,30.8,-1,11.1,,0,23.4,0,15.7,116,16,90,8,-1,1,,-3,103,0,39,23.1,28.1,22.3,30.8,-1,11.1,,0,23.2,0,15.3,119,8,100,9,-1,1,,-3,98,5,49,23.7,14,24.8,34.6,-1,11.1,,16.7,22.1,15.2,19.2,36,8,24,3,-1,0,,-3,29,10,0,7.2,14,6,11.5,-1,0,,0,6.5,0,3.9,24,1,22,1,-1,0,,-3,22,0,6,4.8,1.8,5.5,3.8,-1,0,,0,5,0,2.4
"057905002","W H ADAMSON H S","057905","DALLAS ISD",349,8,331,-1,-1,-1,,-1,344,27,230,145,1,139,-1,-1,-1,0,-1,143,2,86,41.5,12.5,42,-1,-1,-1,,-1,41.6,7.4,37.4,134,1,128,-1,-1,-1,,-1,132,2,81,38.4,12.5,38.7,-1,-1,-1,,-1,38.4,7.4,35.2,45,1,43,-1,-1,-1,,-1,44,0,28,12.9,12.5,13,-1,-1,-1,,-1,12.8,0,12.2,53,0,49,-1,-1,-1,,-1,53,33,1,15.2,0,14.8,-1,-1,-1,,-1,15.4,3.7,14.3,32,1,31,-1,-1,-1,,-1,32,0,19,9.2,12.5,9.4,-1,-1,-1,,-1,9.3,0,8.3
"057905003","NEW TECH H S AT B F DARRELL H S","057905","DALLAS ISD",120,26,87,5,-1,-1,,,99,7,39,11,3,7,1,-1,-1,0,0,10,0,1,9.2,11.5,8,20,-1,-1,,,10.1,0,2.6,11,3,7,1,-1,-1,,,10,0,1,9.2,11.5,8,20,-1,-1,,,10.1,0,2.6,33,4,26,2,-1,-1,,,27,1,7,27.5,15.4,29.9,40,-1,-1,,,27.3,14.3,17.9,0,0,0,0,-1,-1,,,0,0,0,0,0,0,0,-1,-1,,,0,0,0,0,0,0,0,-1,-1,,,0,0,0,0,0,0,0,-1,-1,,,0,0,0
"057905005","MOISES E MOLINA H S","057905","DALLAS ISD",463,20,436,-3,,,,-1,431,40,228,172,0,171,-3,0,0,0,-1,162,2,87,37.1,0,39.2,16.7,,,,-1,37.6,5,38.2,166,0,165,-3,,,,-1,156,2,84,35.9,0,37.8,16.7,,,,-1,36.2,5,36.8,91,0,89,-3,,,,-1,82,0,58,19.7,0,20.4,33.3,,,,-1,19,0,25.4,68,0,67,-3,,,,-1,65,39,0,14.7,0,15.4,16.7,,,,-1,15.1,0,17.1,22,0,22,-3,,,,-1,19,0,7,4.8,0,5,0,,,,-1,4.4,0,3.1
