Campus_id,Campus_name,District_id,District_name,ap_completion_all,ap_completion_black,ap_completion_hispanic,ap_completion_white,ap_completion_american_indian,ap_completion_asian,ap_completion_multirace,ap_completion_econ_disadv,ap_completion_special_ed,ap_completion_EBEL,ap_completion_at_risk,ap_take_all,ap_take_math,ap_take_social,ap_pass_social,ap_pass_science,ap_pass_all,ap_pass_ELA,ap_pass_math,ap_pass_11_12
57905001,BRYAN ADAMS H S LEADERSHIP ACADEMY,57905,DALLAS ISD,78.9,71.9,79.2,84.6,-1,88.9,83.3,78.4,30.3,77.3,74.9,44.4,11.6,16.8,12.5,4.5,23.7,7.7,12.4,10.5
57905002,W H ADAMSON H S,57905,DALLAS ISD,65.3,62.5,65.3,-1,-1,-1,-1,65.4,22.2,61.3,61.6,53.3,18.1,21,9.7,1.4,21,8.2,13.6,11.2
57905003,NEW TECH H S AT B F DARRELL H S,57905,DALLAS ISD,100,100,100,100,-1,-1,,100,100,100,100,92.6,59.9,45,20.9,3.9,19.3,9.3,7.4,17.8
57905005,MOISES E MOLINA H S,57905,DALLAS ISD,52.3,35,53.2,50,,,-1,51.7,5,57.9,50.6,32.9,15.6,7.5,8.6,1.9,25.8,2.3,5.5,8.5
57905006,HILLCREST H S,57905,DALLAS ISD,71.2,58.6,71,85.7,,100,-1,67,16.7,66.1,60.2,35.7,9.4,18.3,21.6,11.2,47.7,44.8,15.9,17
57905007,THOMAS JEFFERSON H S,57905,DALLAS ISD,71.1,16.7,72.5,-1,-1,,-1,70.8,30.8,73.2,70,57.3,28.4,23.2,2.3,0,19.6,6.5,3.1,11.3
57905008,JUSTIN F KIMBALL H S,57905,DALLAS ISD,51.7,38,56.7,66.7,,-1,-1,52.1,22.9,59.8,50.3,24.8,11.7,11.7,6.6,10,27.1,11.1,1.6,6.7
57905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,57905,DALLAS ISD,62.6,64.6,56.8,-1,,,-1,62.9,42.3,58.3,59.4,33.6,11.9,11.2,0,0,0,0,0,0
57905012,DR L G PINKSTON SR H S,57905,DALLAS ISD,72.1,57.1,78.2,-1,-1,-1,-1,71.7,44.8,81.3,68,28.2,8.1,15.1,14.1,0,12.3,14,4.8,3.5
57905013,FRANKLIN D ROOSEVELT H S OF INNOVATION,57905,DALLAS ISD,66.4,57.6,75.6,20,-1,,,66.2,42.1,78.1,64.7,8.7,1.3,2.3,14.3,0,29.6,0,-1,2.6
57905014,W W SAMUELL H S,57905,DALLAS ISD,57.3,22,60.3,85.7,-1,-1,-1,57.9,28,58.1,53.1,30.3,11.5,5,17.5,0,14.5,12.1,3.3,4.4
57905015,SEAGOVILLE H S,57905,DALLAS ISD,55.9,46.2,60.2,28.6,,,20,58.1,23.1,60.6,53.5,27,0.1,6.2,23.9,1.9,20.3,11.4,-1,5.5
57905016,SOUTH OAK CLIFF H S,57905,DALLAS ISD,51.4,51.8,49.5,-1,,-1,-1,51.4,25,43.8,45.4,24.3,2,8.5,14.5,0,7.6,2.4,23.1,1.9
57905017,H GRADY SPRUCE H S,57905,DALLAS ISD,54.2,49.1,56,40,-1,,-1,55.6,37.2,56.8,50.4,27,12.4,7.8,2,0,11.8,4.9,6.4,3.2
57905018,SUNSET H S,57905,DALLAS ISD,60.9,71.4,60.9,-1,-1,-1,-1,61.6,23.3,63.8,55.9,33.7,13.9,11.6,14.7,1.7,33,11.2,12.2,11.1
57905021,W T WHITE H S,57905,DALLAS ISD,63.7,50,63.7,86.4,-1,66.7,-1,62.9,17.9,63.9,57.6,34,10.7,13.6,8.4,17.1,45,7.4,31.9,15.3
57905022,WOODROW WILSON H S,57905,DALLAS ISD,64.5,44.4,51.1,90.8,-1,60,100,48.8,27,50.5,45.7,50.2,20.6,30.2,75.8,32.7,60.6,52.5,50,30.5
57905023,DAVID W CARTER H S,57905,DALLAS ISD,29,29.3,27.9,40,,,-1,28.6,10.8,28.6,22.6,15.5,0,12.4,0,,1.3,7.1,,0.2
57905024,NORTH DALLAS H S,57905,DALLAS ISD,46.2,42.4,46.7,55.6,,-1,-1,44.7,32.1,44.2,39.9,25.7,9.3,7,15.8,15.2,21.6,14.9,8,5.6
57905025,SKYLINE H S,57905,DALLAS ISD,49,41.8,50.7,45.5,-1,-1,-1,49,12.3,42.3,41.4,26,9.1,9.8,21.4,9.1,36.8,16.4,56.1,9.6
57905026,SCHOOL OF SCIENCE AND ENGINEERING,57905,DALLAS ISD,100,100,100,100,,100,-1,100,,100,100,97.4,91.9,97.4,84.7,75.8,95.6,62.4,84.7,93.2
57905028,EMMETT J CONRAD H S,57905,DALLAS ISD,65.5,63.9,67.5,-1,-1,56.5,-1,66,38.9,66.7,63.4,34.6,11.1,19,5.8,1.1,13.4,14.9,20,4.6
57905032,JAMES MADISON H S,57905,DALLAS ISD,76.5,78.3,75,-1,,,,76.3,30.8,76.2,63.8,50.6,33.8,20.6,18.2,0,21,3.8,18.5,10.6
57905033,MARVIN E ROBINSON SCHOOL OF BUSINESS AND MGMT,57905,DALLAS ISD,100,100,100,-1,-1,-1,,100,-1,100,100,98.3,60.5,92.4,37.3,29,51.7,22.2,43.1,50.8
57905034,BOOKER T WASHINGTON SPVA MAGNET,57905,DALLAS ISD,97.1,93.3,96.5,100,,100,90,95,83.3,100,91.2,79.7,43.2,37.9,73.7,31.1,67,75,29.9,53.4
57905035,IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905,DALLAS ISD,100,100,100,-1,,-1,-1,100,,-1,100,99.4,76.1,98.7,68,52.1,79.9,57.7,40.7,79.4
57905036,SCHOOL OF HEALTH PROFESSIONS,57905,DALLAS ISD,100,100,100,100,,-1,,100,-1,100,100,96.6,67.7,80.6,28.9,27.1,52.7,25.6,37.6,50.9
57905037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,57905,DALLAS ISD,100,100,100,-1,,,-1,100,-1,100,100,96.8,63.2,86.3,24.4,17.6,48.9,16.2,23.3,47.4
57905038,JUDGE BAREFOOT SANDERS LAW MAGNET,57905,DALLAS ISD,100,100,100,100,,-1,-1,100,-1,100,100,98.3,71.1,83.7,39.5,34.9,74,35.8,36.5,72.8
57905039,SCHOOL FOR THE TALENTED AND GIFTED,57905,DALLAS ISD,100,100,100,100,,100,-1,100,-1,-1,100,100,97.6,99.2,99.2,86.1,99.6,93.5,88.4,99.6
57905085,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,57905,DALLAS ISD,0,0,0,-1,,-1,,0,-1,0,0,14.5,0,14.5,52.2,,52.2,,,7.5
57905088,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,57905,DALLAS ISD,100,-1,100,-1,,,,100,,100,100,71.9,21.6,7.5,53.3,35.7,41.3,43.3,18.6,29.6
57905090,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,57905,DALLAS ISD,20,-1,21.3,,,,,19.3,,21.4,23.5,49.6,0,48.9,73.8,,72.7,-1,,36.1
57905352,YOUNG WOMEN'S STEAM ACADEMY AT BALCH SPRINGS MIDDL,57905,DALLAS ISD,,,,,,,,,,,,,,,,,,,,
57905380,WILMER-HUTCHINS H S,57905,DALLAS ISD,44.5,35.8,52.7,-1,,-1,,45.9,4.2,57.4,38.8,19,4.2,4.9,9.5,0,4.9,3.6,0,0.9
57905381,BARACK OBAMA MALE LEADERSHIP ACAD AT A MACEO SMITH,57905,DALLAS ISD,100,100,100,,,-1,,100,-1,100,100,97.3,83.9,62.5,24.3,17.1,59.6,15.1,52.1,58
57905382,INNOVATION DESIGN ENTREPRENEURSHIP ACADEMY,57905,DALLAS ISD,100,100,100,-1,,-1,,100,100,100,100,68.8,43.8,40,3.1,13,9.1,0,8.6,6.3
57905383,CITYLAB H S,57905,DALLAS ISD,100,100,100,-1,,,,100,-1,100,100,65.3,55.1,49,6.3,0,10.9,13.3,5.6,7.1
57905387,NORTH LAKE EARLY COLLEGE H S,57905,DALLAS ISD,36,-1,34.1,-1,,-1,,33.3,-1,27.8,26.3,71.3,7.4,25.9,39.3,4.5,16.9,,0,12
57905388,DR FREDERICK HAYNES III GLOBAL PREP AT PAUL QUINN,57905,DALLAS ISD,,,,,,,,,,,,,,,,,,,,