Campus_id,Campus_name,Dstrict_id,District_name,dual_credit_all,Dual_credit_multirace,Dual_credit_asian,Dual_credit_black,Dual_credit_hispanic,Dual_credit_white,Dual_credit_americanindian,Dual_credit_econ_disadv,Dual_credit_specialEd,Dual_credit_EBEL,Dual_credit_ELA,Dual_credit_math,Dual_credit_science,Dual_credit_social
57905001,BRYAN ADAMS H S LEADERSHIP ACADEMY,57905,DALLAS ISD,61.3,66.7,80,52.1,60.9,79.2,80,60.8,28,59.4,46.8,23.6,25,29.1
57905002,W H ADAMSON H S,57905,DALLAS ISD,66.2,-1,-1,42.9,66.7,54.5,-1,66.4,23.6,64.6,45.7,30.3,30.9,46.1
57905003,NEW TECH H S AT B F DARRELL H S,57905,DALLAS ISD,97.1,-1,-1,97.9,97.3,100,-1,97.1,100,97.1,97.5,68.8,60.5,46.6
57905005,MOISES E MOLINA H S,57905,DALLAS ISD,61,-1,,43.6,61.6,90.9,-1,60.9,20,62.8,30.7,28.4,27.8,25.7
57905006,HILLCREST H S,57905,DALLAS ISD,73.1,57.1,87.5,64.4,71.6,91,-1,71,37,67.2,40.2,40.3,62.6,42.1
57905007,THOMAS JEFFERSON H S,57905,DALLAS ISD,68.8,-1,,16.7,70.6,57.1,-1,70.4,32.7,69.4,43.3,38,36.9,38.1
57905008,JUSTIN F KIMBALL H S,57905,DALLAS ISD,49,-1,-1,37.9,53.1,66.7,,51.6,23.4,56.8,32,28.4,21.2,28.4
57905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,57905,DALLAS ISD,46.5,-1,,50,37.2,-1,-1,48.2,27.7,36.4,38.5,17.8,8.2,23.2
57905012,DR L G PINKSTON SR H S,57905,DALLAS ISD,61.5,-1,-1,56.3,62.6,-1,-1,61.5,33.8,61.3,34.2,22.2,28.9,36
57905013,FRANKLIN D ROOSEVELT H S OF INNOVATION,57905,DALLAS ISD,64.6,-1,,64.3,64.7,62.5,-1,65.8,34,68.3,30.6,48.2,14.1,31.9
57905014,W W SAMUELL H S,57905,DALLAS ISD,54.8,-1,-1,24.1,58.6,57.1,83.3,56.6,21.4,55.6,29.2,33,33.4,28.4
57905015,SEAGOVILLE H S,57905,DALLAS ISD,65.9,-1,,61.2,68.8,42.2,,67.4,43.7,68.7,20.3,45.4,15.1,24.8
57905016,SOUTH OAK CLIFF H S,57905,DALLAS ISD,59.2,57.1,100,62.9,51.5,57.1,-1,60,40,50,30.1,10.8,39.3,20.4
57905017,H GRADY SPRUCE H S,57905,DALLAS ISD,72.8,-1,-1,71.1,73.5,55.6,-1,73,44.9,70.8,27.6,40.8,59,22.8
57905018,SUNSET H S,57905,DALLAS ISD,64.1,-1,80,53.3,64.5,53.8,-1,64.9,46.4,65.3,32.5,33.6,35.6,27.6
57905021,W T WHITE H S,57905,DALLAS ISD,59.9,50,73.3,50.5,59.8,76.2,87.5,59.7,22.1,55.3,35.3,30.4,21.4,39
57905022,WOODROW WILSON H S,57905,DALLAS ISD,65.8,83.3,72.7,48.1,54.3,87.1,-1,53.7,33,51.8,54.5,32.5,35.7,38.1
57905023,DAVID W CARTER H S,57905,DALLAS ISD,53.1,40,,56.5,46.5,55.6,,53.2,26.5,51.5,20.3,48.3,3.8,16.8
57905024,NORTH DALLAS H S,57905,DALLAS ISD,75.9,-1,87.5,73.7,76.3,76.5,-1,76.1,55,75.7,40.5,51.5,40.1,24
57905025,SKYLINE H S,57905,DALLAS ISD,55.6,40,80,46.3,57.9,56.7,-1,57.6,10.2,53.2,30.5,38,19.6,27.6
57905026,SCHOOL OF SCIENCE AND ENGINEERING,57905,DALLAS ISD,100,-1,100,100,100,100,,100,100,100,100,97.4,97,100
57905028,EMMETT J CONRAD H S,57905,DALLAS ISD,69.8,-1,62.7,70.1,70.9,78.6,-1,70.6,38.8,67.6,44.6,41.7,38.8,44.5
57905032,JAMES MADISON H S,57905,DALLAS ISD,58.5,,,63.1,52,-1,-1,59.7,9.1,53.3,42.7,43.3,20,27.5
57905033,MARVIN E ROBINSON SCHOOL OF BUSINESS AND MGMT,57905,DALLAS ISD,100,-1,-1,100,100,100,-1,100,-1,100,98.7,78.9,46.7,97.4
57905034,BOOKER T WASHINGTON SPVA MAGNET,57905,DALLAS ISD,94.3,92.9,100,92.5,92.3,96.7,,93.5,80,78.6,75.1,57.6,83.1,61.7
57905035,IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905,DALLAS ISD,100,-1,100,100,100,100,-1,100,-1,100,99.4,94.9,100,98.7
57905036,SCHOOL OF HEALTH PROFESSIONS,57905,DALLAS ISD,99.6,-1,-1,100,100,100,-1,99.5,-1,100,98.7,78.4,93.5,95.3
57905037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,57905,DALLAS ISD,97.9,-1,,95,98.6,-1,,97.2,-1,100,100,75.3,58.9,94.2
57905038,JUDGE BAREFOOT SANDERS LAW MAGNET,57905,DALLAS ISD,98.7,80,100,100,99.4,90.9,,99,-1,97.7,98.7,77.6,58.2,97.9
57905039,SCHOOL FOR THE TALENTED AND GIFTED,57905,DALLAS ISD,100,100,100,100,100,100,,100,100,100,100,98.4,99.2,99.2
57905085,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,57905,DALLAS ISD,96.2,-1,-1,98.5,94.3,-1,,95.6,100,92.9,90.5,65.5,58.7,83
57905088,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,57905,DALLAS ISD,100,,,100,100,-1,,100,,100,100,71.9,78.3,93
57905090,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,57905,DALLAS ISD,99.3,-1,-1,90,100,-1,,99.1,-1,100,96.5,71.6,100,100
57905352,YOUNG WOMEN'S STEAM ACADEMY AT BALCH SPRINGS MIDDL,57905,DALLAS ISD,,,,,,,,,,,,,,
57905380,WILMER-HUTCHINS H S,57905,DALLAS ISD,40.8,-1,20,39.2,43.3,-1,-1,41.8,18.6,45.5,26.8,17.1,10.6,25.6
57905381,BARACK OBAMA MALE LEADERSHIP ACAD AT A MACEO SMITH,57905,DALLAS ISD,100,,-1,100,100,,,100,100,100,83.8,79.3,92.6,76.6
57905382,INNOVATION DESIGN ENTREPRENEURSHIP ACADEMY,57905,DALLAS ISD,93.8,-1,-1,94.1,96.4,-1,,93,100,93.9,77.5,46.3,40,83.8
57905383,CITYLAB H S,57905,DALLAS ISD,100,-1,,100,100,100,,100,100,100,95.9,66,95.7,74
57905387,NORTH LAKE EARLY COLLEGE H S,57905,DALLAS ISD,100,,-1,100,100,-1,,100,-1,100,100,94.2,51,89.8
57905388,DR FREDERICK HAYNES III GLOBAL PREP AT PAUL QUINN,57905,DALLAS ISD,,,,,,,,,,,,,,