Campus_id,Campus_name,District_id,Distrct_name,ccmr_all,ccmr_black,ccmr_hispanic,ccmr_white,ccmr_americanindian,ccmr_asian,ccmr_multirace,ccmr_econ_disadv,ccmr_special_ED,ccmr_EBEL,ccmr_college,ccmr_career,ccmr_both,tsi_math,tsi_ela,tsi_both
57905001,BRYAN ADAMS H S LEADERSHIP ACADEMY,57905,DALLAS ISD,95.6,93,95.5,100,-1,100,100,95.7,100,94.5,66.8,28.8,30.8,46.9,60.4,41.2
57905002,W H ADAMSON H S,57905,DALLAS ISD,90,87.5,89.7,-1,-1,-1,-1,89.8,92.6,89.6,72.5,17.5,42.7,54.2,57.6,47.9
57905003,NEW TECH H S AT B F DARRELL H S,57905,DALLAS ISD,100,100,100,100,-1,-1,,100,100,100,55,45,46.7,47.5,74.2,45.8
57905005,MOISES E MOLINA H S,57905,DALLAS ISD,91.4,85,91.5,100,,,-1,92.1,90,92.1,80.8,10.6,48.2,76.9,76,70.8
57905006,HILLCREST H S,57905,DALLAS ISD,90.9,92.8,89.9,93.8,,80,-1,89.7,93.3,86.7,86.2,4.7,26.2,72.1,79.6,68.2
57905007,THOMAS JEFFERSON H S,57905,DALLAS ISD,96.2,83.3,96.5,-1,-1,,-1,96.2,92.3,97.6,94.4,1.9,27.1,90.2,78.9,77.4
57905008,JUSTIN F KIMBALL H S,57905,DALLAS ISD,94.8,95.8,94,100,,-1,-1,94.8,100,93.2,92.6,2.2,50,87.8,87.8,87
57905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,57905,DALLAS ISD,90.6,91.9,88.9,-1,,,-1,90.8,100,95.8,68.8,21.7,42,71.7,58.7,52.9
57905012,DR L G PINKSTON SR H S,57905,DALLAS ISD,95,91.4,96.4,-1,-1,-1,-1,95,96.6,96.3,78.3,16.7,25,63.3,64.2,56.3
57905013,FRANKLIN D ROOSEVELT H S OF INNOVATION,57905,DALLAS ISD,97.2,96.6,97.4,100,-1,,,97.1,94.7,98.4,81.8,15.4,21.7,74.8,74.8,69.9
57905014,W W SAMUELL H S,57905,DALLAS ISD,77,73.2,77,85.7,-1,-1,-1,77.6,84,73.5,44.8,32.3,11.3,36.5,41,31.3
57905015,SEAGOVILLE H S,57905,DALLAS ISD,81.6,73.1,83,78.6,,,100,82.4,88.5,81.9,48.6,32.9,30.5,38.4,36,24.8
57905016,SOUTH OAK CLIFF H S,57905,DALLAS ISD,89.3,91.1,86.8,-1,,-1,-1,89.3,97.2,85.9,51.2,38.1,37.7,54,41.2,29.8
57905017,H GRADY SPRUCE H S,57905,DALLAS ISD,83,89.5,81.9,60,-1,,-1,84.1,79.1,84.6,59.6,23.4,42.6,41,46.5,33.3
57905018,SUNSET H S,57905,DALLAS ISD,88.7,100,88.7,-1,-1,-1,-1,89.4,95.3,88.5,67.9,20.9,24.3,55.7,54.3,44.5
57905021,W T WHITE H S,57905,DALLAS ISD,92.6,95.7,92.1,95.2,-1,88.9,-1,92.7,92.9,93.4,80.8,11.9,23.3,73.9,72.2,65.1
57905022,WOODROW WILSON H S,57905,DALLAS ISD,90.7,94.4,87.1,97.5,-1,80,100,88.2,91.9,86.1,86.2,4.5,23.1,88.3,85.1,80.4
57905023,DAVID W CARTER H S,57905,DALLAS ISD,79.5,77.4,82,100,,,-1,79.2,86.5,81,62.5,17,10.5,55.5,52.5,48.5
57905024,NORTH DALLAS H S,57905,DALLAS ISD,94.3,95.5,94,88.9,,-1,-1,93.6,89.3,93.7,78.5,15.9,35,67.9,68.3,59.8
57905025,SKYLINE H S,57905,DALLAS ISD,89,85,89.9,90.9,-1,-1,-1,89.8,96.5,87.9,63.2,25.8,31,50.4,61.2,43.7
57905026,SCHOOL OF SCIENCE AND ENGINEERING,57905,DALLAS ISD,100,100,100,100,,100,-1,100,,100,100,0,0.9,100,100,100
57905028,EMMETT J CONRAD H S,57905,DALLAS ISD,95.7,91.8,97,-1,-1,100,-1,95.6,100,97.1,83.3,12.4,39.5,71.7,69,58.9
57905032,JAMES MADISON H S,57905,DALLAS ISD,90.1,90,95,-1,,,,91.3,92.3,100,72.8,17.3,48.1,86.4,51.9,51.9
57905033,MARVIN E ROBINSON SCHOOL OF BUSINESS AND MGMT,57905,DALLAS ISD,99.1,94.7,100,-1,-1,-1,,100,-1,100,99.1,0,76.1,96.3,95.4,95.4
57905034,BOOKER T WASHINGTON SPVA MAGNET,57905,DALLAS ISD,99.2,97.8,98.8,100,,100,100,98.8,100,100,99.2,0,0,87.9,95,86.2
57905035,IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905,DALLAS ISD,100,100,100,-1,,-1,-1,100,,-1,100,0,30,100,100,100
57905036,SCHOOL OF HEALTH PROFESSIONS,57905,DALLAS ISD,99.1,100,98.9,100,,-1,,99,-1,94.4,99.1,0,88.9,99.1,96.6,95.7
57905037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,57905,DALLAS ISD,100,100,100,-1,,,-1,100,-1,100,100,0,97.4,100,94.7,94.7
57905038,JUDGE BAREFOOT SANDERS LAW MAGNET,57905,DALLAS ISD,100,100,100,100,,-1,-1,100,-1,100,100,0,25.2,100,100,100
57905039,SCHOOL FOR THE TALENTED AND GIFTED,57905,DALLAS ISD,100,100,100,100,,100,-1,100,-1,-1,100,0,0,100,100,100
57905085,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,57905,DALLAS ISD,100,100,100,-1,,-1,,100,-1,100,100,0,0,97.3,91.9,90.5
57905088,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,57905,DALLAS ISD,100,-1,100,-1,,,,100,,100,100,0,0,99,100,99
57905090,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,57905,DALLAS ISD,100,-1,100,,,,,100,,100,100,0,3.1,96.9,96.9,93.8
57905352,YOUNG WOMEN'S STEAM ACADEMY AT BALCH SPRINGS MIDDL,57905,DALLAS ISD,,,,,,,,,,,,,,,,
57905380,WILMER-HUTCHINS H S,57905,DALLAS ISD,87.9,86.2,91.4,-1,,-1,,88.1,79.2,96.7,77.4,10.5,51.6,75.8,74.2,64.2
57905381,BARACK OBAMA MALE LEADERSHIP ACAD AT A MACEO SMITH,57905,DALLAS ISD,82.1,77.8,82.8,,,-1,,84.4,-1,100,82.1,0,0,71.8,97.4,71.8
57905382,INNOVATION DESIGN ENTREPRENEURSHIP ACADEMY,57905,DALLAS ISD,95.3,90.9,96.6,-1,,-1,,94.7,100,94.1,86,9.3,74.4,79.1,81.4,76.7
57905383,CITYLAB H S,57905,DALLAS ISD,93.8,87.5,94.9,-1,,,,91.9,-1,95.2,56.3,37.5,54.2,64.6,60.4,41.7
57905387,NORTH LAKE EARLY COLLEGE H S,57905,DALLAS ISD,100,-1,100,-1,,-1,,100,-1,100,100,0,0,86,64,60
57905388,DR FREDERICK HAYNES III GLOBAL PREP AT PAUL QUINN,57905,DALLAS ISD,,,,,,,,,,,,,,,,