Campus_name,Campus_type,Grade_span,AEA_rating_flag,Overall_rating,Growth_disctinction,Closing_gap_distinction,Reading_distinction,Math_distinction,Science_distinction,Social_studies_distinction,Postsecondary_distinction
BARACK OBAMA MALE LEADERSHIP ACAD AT A MACEO SMITH,B,12-Jun,N,A,1,1,1,1,1,1,1
BOOKER T WASHINGTON SPVA MAGNET,S,12-Sep,N,A,0,1,1,1,1,1,1
BRYAN ADAMS H S LEADERSHIP ACADEMY,S,12-Sep,N,B,0,0,1,0,1,1,1
CITYLAB H S,S,12-Sep,N,A,0,1,1,1,1,1,1
DAVID W CARTER H S,S,12-Sep,N,C,0,0,0,0,0,1,0
DR FREDERICK HAYNES III GLOBAL PREP AT PAUL QUINN,B,10-Jun,N,C,0,0,1,0,0,1,0
DR L G PINKSTON SR H S,S,12-Sep,N,B,0,0,0,0,0,1,0
DR WRIGHT L LASSITER JR EARLY COLLEGE H S,S,12-Sep,N,A,0,1,0,1,1,1,1
EMMETT J CONRAD H S,S,12-Sep,N,B,1,1,0,1,1,0,1
FRANKLIN D ROOSEVELT H S OF INNOVATION,S,12-Sep,N,B,0,0,0,0,0,0,0
H GRADY SPRUCE H S,S,12-Sep,N,C,0,0,0,0,0,0,0
HILLCREST H S,S,12-Sep,N,B,0,0,1,0,1,1,0
INNOVATION DESIGN ENTREPRENEURSHIP ACADEMY,S,12-Sep,N,C,1,0,0,1,0,1,0
IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,B,12-Jun,N,A,1,1,1,1,1,1,1
JAMES MADISON H S,S,12-Sep,N,B,1,0,0,1,1,1,0
JUDGE BAREFOOT SANDERS LAW MAGNET,S,12-Sep,N,A,1,1,1,1,1,1,1
JUSTIN F KIMBALL H S,S,12-Sep,N,C,0,0,0,0,0,0,0
KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,S,12-Sep,N,A,0,0,0,0,0,0,1
LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,S,12-Sep,N,B,0,1,0,1,0,1,0
MARVIN E ROBINSON SCHOOL OF BUSINESS AND MGMT,S,12-Sep,N,A,1,1,1,1,1,1,1
MOISES E MOLINA H S,S,12-Sep,N,B,0,0,0,0,0,0,0
NEW TECH H S AT B F DARRELL H S,S,12-Sep,N,A,0,1,0,1,1,1,1
NORTH DALLAS H S,S,12-Sep,N,C,0,0,1,1,1,1,0
NORTH LAKE EARLY COLLEGE H S,S,12-Sep,N,A,0,0,0,0,1,0,1
ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,S,12-Sep,N,A,1,1,1,1,1,1,1
SCHOOL FOR THE TALENTED AND GIFTED,S,12-Sep,N,A,1,1,1,1,1,1,1
SCHOOL OF HEALTH PROFESSIONS,S,12-Sep,N,A,1,1,1,1,1,1,1
SCHOOL OF SCIENCE AND ENGINEERING,S,12-Sep,N,A,1,1,1,1,1,1,1
SEAGOVILLE H S,S,12-Sep,N,C,0,0,0,0,0,0,0
SKYLINE H S,S,12-Sep,N,B,0,1,0,0,0,0,0
SOUTH OAK CLIFF H S,S,12-Sep,N,B,1,1,1,1,0,1,0
SUNSET H S,S,12-Sep,N,B,1,0,0,0,0,0,0
THOMAS JEFFERSON H S,S,12-Sep,N,B,1,1,1,0,1,1,1
TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,S,12-Sep,N,A,0,0,1,1,1,1,1
W H ADAMSON H S,S,12-Sep,N,A,1,1,1,1,1,1,0
W T WHITE H S,S,12-Sep,N,B,0,0,0,0,0,1,0
W W SAMUELL H S,S,12-Sep,N,C,0,0,0,0,0,1,0
WILMER-HUTCHINS H S,S,12-Sep,N,D,0,0,0,0,0,0,0
WOODROW WILSON H S,S,12-Sep,N,B,1,0,1,1,0,1,1
YOUNG WOMEN'S STEAM ACADEMY AT BALCH SPRINGS MIDDL,M,9-Jun,N,B,1,1,1,1,0,1,1