Campus_id,Campus_name,District_ID,District_name,Total_students,White_pct,Black_pct,Hispanic_pct,American_indian_pct,Asian_pct,SpecialED_pct,GT_pct,CTE_pct,CTE_9_12_pct,EB_EL_pct,Econ_disadv_pct,At_risk_pct
57905001,BRYAN ADAMS H S LEADERSHIP ACADEMY,57905,DALLAS ISD,2203,4.9,9.8,82.8,0.5,1,10,16.7,80,80,52.4,92.6,71.5
57905002,W H ADAMSON H S,57905,DALLAS ISD,1353,1.3,2.4,95.2,0.5,0.3,9.4,16.8,81.9,81.9,59.3,98.7,74.4
57905003,NEW TECH H S AT B F DARRELL H S,57905,DALLAS ISD,407,3.2,20.6,74,0,1.7,11.3,25.1,96.1,96.1,40,90.4,60
57905005,MOISES E MOLINA H S,57905,DALLAS ISD,2005,0.9,4,94.2,0.4,0,11.2,15.1,83,83,53.3,93.2,75.2
57905006,HILLCREST H S,57905,DALLAS ISD,1571,10.6,17.6,68.4,0.6,1.3,9.3,20.6,71,71,48.2,82.4,63.8
57905007,THOMAS JEFFERSON H S,57905,DALLAS ISD,1516,1.6,5.1,91.7,0.9,0.2,10.8,15.2,66.4,66.4,75.4,97.6,84.9
57905008,JUSTIN F KIMBALL H S,57905,DALLAS ISD,1175,1,27.1,70.6,0.5,0,15,10.7,74.9,74.9,52.8,89.5,79.5
57905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,57905,DALLAS ISD,579,0.5,70.1,27.5,0.3,0,16.4,12.4,75,75,21.2,96.9,71.2
57905012,DR L G PINKSTON SR H S,57905,DALLAS ISD,1264,1.5,23.7,72.7,0.5,0.6,14.7,11.9,71.9,71.9,47.8,95.3,80.6
57905013,FRANKLIN D ROOSEVELT H S OF INNOVATION,57905,DALLAS ISD,720,1.4,36.4,60.3,0.4,0.1,15.3,11.9,54.4,54.4,44.3,97.6,79.9
57905014,W W SAMUELL H S,57905,DALLAS ISD,1708,2.2,11.5,84.3,0.7,0.2,14.4,16.8,55,55,64.6,95.7,84.3
57905015,SEAGOVILLE H S,57905,DALLAS ISD,1782,6.8,19,72.9,0.3,0.2,13.4,13.7,70.7,70.7,53.7,91.3,81.2
57905016,SOUTH OAK CLIFF H S,57905,DALLAS ISD,1559,0.9,58.2,38.4,0.6,0.8,12.5,13.6,80.1,80.1,31.9,97.9,73.1
57905017,H GRADY SPRUCE H S,57905,DALLAS ISD,1370,2.3,13.4,83.1,0.6,0.2,13.7,11.6,81.9,81.9,67.2,96.4,88.8
57905018,SUNSET H S,57905,DALLAS ISD,2164,1.5,1.2,96.5,0.4,0.1,11,16.6,73.6,73.6,53.4,93.5,74.9
57905021,W T WHITE H S,57905,DALLAS ISD,2204,3.8,10.3,83.1,0.9,1,10.6,15.7,67.4,67.4,59.5,90,75.9
57905022,WOODROW WILSON H S,57905,DALLAS ISD,1829,27.7,7.3,62,0.3,1.2,11,24.4,55.2,55.2,31.2,61.2,53.6
57905023,DAVID W CARTER H S,57905,DALLAS ISD,1097,1.5,57,39.9,0.2,0.2,15.2,13.8,64.6,64.6,26.5,91.2,71.1
57905024,NORTH DALLAS H S,57905,DALLAS ISD,1300,2.6,27.5,66.5,0.4,1.5,12.9,20,79.8,79.8,48.2,91.1,75.5
57905025,SKYLINE H S,57905,DALLAS ISD,3837,1.8,20.2,76.5,0.4,0.3,8.6,20,76,76,46.8,92.2,71.6
57905026,SCHOOL OF SCIENCE AND ENGINEERING,57905,DALLAS ISD,505,10.5,7.3,70.7,0.4,9.3,3.2,64.8,83.2,83.2,23.8,65.3,28.7
57905028,EMMETT J CONRAD H S,57905,DALLAS ISD,1321,4,18.3,66,0.6,10.3,12,12.9,71.5,71.5,66.7,96.4,78.2
57905032,JAMES MADISON H S,57905,DALLAS ISD,349,1.1,59,38.1,0.6,0.3,15.8,9.7,75.4,75.4,32.4,97.1,69.9
57905033,MARVIN E ROBINSON SCHOOL OF BUSINESS AND MGMT,57905,DALLAS ISD,476,3.4,14.1,81.1,0.2,0.6,1.5,46.2,95,95,28.4,84.2,38.2
57905034,BOOKER T WASHINGTON SPVA MAGNET,57905,DALLAS ISD,970,37.6,20.3,36.5,0.3,2.7,3.4,34.8,8.6,8.6,9,38.5,18.5
57905035,IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905,DALLAS ISD,604,7.6,4.8,83.4,0.5,2.2,1.5,76.3,26.8,57,46.2,79.8,49.3
57905036,SCHOOL OF HEALTH PROFESSIONS,57905,DALLAS ISD,497,2.8,13.9,80.7,0.2,1.4,0.6,52.3,100,100,20.1,83.7,31.6
57905037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,57905,DALLAS ISD,168,3.6,19,75.6,0,0.6,1.8,40.5,97,97,17.9,79.2,35.7
57905038,JUDGE BAREFOOT SANDERS LAW MAGNET,57905,DALLAS ISD,494,7.1,15.6,71.3,0,4.9,2.2,55.5,87.7,87.7,11.9,78.9,23.5
57905039,SCHOOL FOR THE TALENTED AND GIFTED,57905,DALLAS ISD,555,33.9,6.5,42.2,0.5,12.1,2,73.3,48.5,48.5,2.5,39.6,6.5
57905085,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,57905,DALLAS ISD,342,0.6,39.5,56.7,0.9,0.9,3.2,33.3,32.7,32.7,20.8,81.3,39.8
57905088,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,57905,DALLAS ISD,474,1.7,3.6,94.3,0,0.4,0.8,47,46.6,46.6,29.3,94.7,34.4
57905090,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,57905,DALLAS ISD,293,1.7,8.5,87.4,0.7,0.3,0.7,44.4,32.4,32.4,25.6,86.7,34.1
57905352,YOUNG WOMEN'S STEAM ACADEMY AT BALCH SPRINGS MIDDL,57905,DALLAS ISD,751,2.4,12.3,84,0.5,0.3,12.5,24.9,6.8,55.2,62.1,95.9,79.6
57905380,WILMER-HUTCHINS H S,57905,DALLAS ISD,921,1.1,42.9,52.4,0.5,1.6,13.2,10.5,76.7,76.7,41.7,97.9,78.7
57905381,BARACK OBAMA MALE LEADERSHIP ACAD AT A MACEO SMITH,57905,DALLAS ISD,554,2.2,12.8,82.1,0.7,1.6,4.2,61,33.2,42.6,49.6,91.7,59.6
57905382,INNOVATION DESIGN ENTREPRENEURSHIP ACADEMY,57905,DALLAS ISD,149,6,24.8,66.4,0,1.3,26.8,12.1,97.3,97.3,36.2,85.2,61.7
57905383,CITYLAB H S,57905,DALLAS ISD,150,11.3,16.7,70,0,0,19.3,18,96,96,26.7,81.3,49.3
57905387,NORTH LAKE EARLY COLLEGE H S,57905,DALLAS ISD,291,3.4,10.3,80.8,1.7,3.1,2.1,35.4,47.1,47.1,47.1,87.6,55.7
57905388,DR FREDERICK HAYNES III GLOBAL PREP AT PAUL QUINN,57905,DALLAS ISD,232,0.4,57.8,40.1,0.4,0,12.9,28,18.1,87.5,30.6,96.6,73.3